"polish"	"indpol_hindi"	"indpol_marathi"	"hindi_meaning"	"marathi_meaning"	"english_meaning"	"pos"	"level"
"poinformować"	"पोिनफोरमोवअच"	"पओइनफओरमओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to inform]"	"to inform"	"verb"	"B1"
"pojawić się"	"पोयअविच शिएं"	"पओयअवइच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to appear]"	"to appear"	"noun"	"A1"
"pojazd"	"पोयअज़द"	"पओयअज़द"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: vehicle]"	"vehicle"	"noun"	"C1"
"pojęcie"	"पोयएंचिे"	"पओयएंचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: notion]"	"notion"	"noun"	"C1"
"pojedynczy"	"पोयेदिनचि"	"पओयएदइनचइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: single]"	"single"	"noun"	"A2"
"pokazywać"	"पोकअज़िवअच"	"पओकअज़इवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to show]"	"to show"	"verb"	"B2"
"pokład"	"पोकवअद"	"पओकवअद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: deck]"	"deck"	"noun"	"B1"
"poklepać"	"पोकलेपअच"	"पओकलएपअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to pat]"	"to pat"	"verb"	"C1"
"pokój"	"पोकउय"	"पओकउय"	"कमरा"	"खोली"	"peace"	"noun"	"B2"
"pokojówka"	"पोकोयउवकअ"	"पओकओयउवकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: maid]"	"maid"	"noun"	"B2"
"pół"	"पउव"	"पउव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: half]"	"half"	"noun"	"A1"
"połączenie"	"पोवओंचेनिे"	"पओवओंचएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: connection]"	"connection"	"noun"	"B2"
"połączyć"	"पोवओंचिच"	"पओवओंचइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to connect]"	"to connect"	"verb"	"B2"
"pole"	"पोले"	"पओलए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: field]"	"field"	"noun"	"A2"
"polegać"	"पोलेगअच"	"पओलएगअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to depend]"	"to depend"	"verb"	"B2"
"Policja"	"पोलित्सयअ"	"पओलइत्सयअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: police]"	"police"	"noun"	"A2"
"policjant"	"पोलित्सयअनत"	"पओलइत्सयअनत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: cop]"	"cop"	"noun"	"B2"
"policzek"	"पोलिचेक"	"पओलइचएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: cheek]"	"cheek"	"noun"	"B2"
"polityczny"	"पोलितिचनि"	"पओलइतइचनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: political]"	"political"	"noun"	"B1"
"połknąć"	"पोवकनओंच"	"पओवकनओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to swallow]"	"to swallow"	"noun"	"B1"
"północ"	"पउवनोत्स"	"पउवनओत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: north]"	"north"	"noun"	"B1"
"polować"	"पोलोवअच"	"पओलओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to hunt]"	"to hunt"	"verb"	"B2"
"położyć"	"पोवोझिच"	"पओवओझइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to put]"	"to put"	"verb"	"A1"
"południe"	"पोवुदनिे"	"पओवउदनिए"	"दोपहर"	"दुपार"	"south"	"noun"	"B2"
"pomarańczowy"	"पोमअरअञचोवि"	"पओमअरअञचओवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"B2"
"pomiędzy"	"पोमिएंजि"	"पओमइएंजइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: between]"	"between"	"noun"	"A1"
"pomoc"	"पोमोत्स"	"पओमओत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: aid]"	"aid"	"noun"	"B2"
"pomóc"	"पोमउत्स"	"पओमउत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to help]"	"to help"	"noun"	"A1"
"pomysł"	"पोमिसव"	"पओमइसव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: idea]"	"idea"	"noun"	"A1"
"poniedziałek"	"पोनिेजिअवेक"	"पोन्येज़्यावेक"	"सोमवार"	"सोमवार"	""	"noun"	"B2"
"poniżej"	"पोनिझेय"	"पओनिझएय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: below]"	"below"	"noun"	"A2"
"pop"	"पोप"	"पओप"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to pop]"	"to pop"	"noun"	"C1"
"popijać"	"पोपियअच"	"पओपइयअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to sip]"	"to sip"	"verb"	"B2"
"popołudnie"	"पोपोवुदनिे"	"पओपओवउदनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: afternoon]"	"afternoon"	"noun"	"A2"
"poprawny"	"पोपरअवनि"	"पओपरअवनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: correct]"	"correct"	"noun"	"B2"
"poprzedni"	"पोपझेदनि"	"पओपझएदनि"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: former]"	"former"	"noun"	"B1"
"popularny"	"पोपुलअरनि"	"पओपउलअरनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: popular]"	"popular"	"noun"	"B2"
"popychać"	"पोपिखअच"	"पओपइखअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to push]"	"to push"	"verb"	"A1"
"pora"	"पोरअ"	"पओरअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"B2"
"porównać"	"पोरउवनअच"	"पओरउवनअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to compare]"	"to compare"	"verb"	"B2"
"portmonetka"	"पोरतमोनेतकअ"	"पओरतमओनएतकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: purse]"	"purse"	"noun"	"C1"
"porzucić"	"पोझुचिच"	"पओझउचिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to abandon]"	"to abandon"	"verb"	"B2"
"poście"	"पोशचिे"	"पओशचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"B2"
"posiadać"	"पोशिअदअच"	"पओशिअदअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: own]"	"own"	"verb"	"A1"
"posiadanie"	"पोशिअदअनिे"	"पओशिअदअनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: possession]"	"possession"	"noun"	"B2"
"posiłek"	"पोशिवेक"	"पओशिवएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: meal]"	"meal"	"noun"	"B1"
"pośliznąć"	"पोशलिज़नओंच"	"पओशलइज़नओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to slip]"	"to slip"	"noun"	"A2"
"poślubić"	"पोशलुबिच"	"पओशलउबइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to marry]"	"to marry"	"verb"	"A1"
"pospolity"	"पोसपोलिति"	"पओसपओलइतइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: common]"	"common"	"noun"	"A2"
"pośród"	"पोशरउद"	"पओशरउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: among]"	"among"	"noun"	"A1"
"postać"	"पोसतअच"	"पओसतअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: figure]"	"figure"	"verb"	"A1"
"postawa"	"पोसतअवअ"	"पओसतअवअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: attitude]"	"attitude"	"noun"	"B2"
"postawić"	"पोसतअविच"	"पओसतअवइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to bet]"	"to bet"	"verb"	"B2"
"postęp"	"पोसतएंप"	"पओसतएंप"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: progress]"	"progress"	"noun"	"B2"
"postrzegać"	"पोसतझेगअच"	"पओसतझएगअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to perceive]"	"to perceive"	"verb"	"C1"
"posuwać się naprzód"	"पोसुवअच शिएं नअपझउद"	"पओसउवअच शिएं नअपझउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to advance]"	"to advance"	"noun"	"B1"
"Poszanowanie"	"पोशअनोवअनिे"	"पओशअनओवअनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: respect]"	"respect"	"noun"	"A2"
"pot"	"पोत"	"पओत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: sweat]"	"sweat"	"noun"	"B2"
"potem"	"पोतेम"	"पओतएम"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: afterwards]"	"afterwards"	"noun"	"B2"
"potężny"	"पोतएंझनि"	"पओतएंझनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: powerful]"	"powerful"	"noun"	"B1"
"potrzebować"	"पोतझेबोवअच"	"पओतझएबओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to need]"	"to need"	"verb"	"A1"
"potwierdzić"	"पोतविेरजिच"	"पओतवइएरजिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to acknowledge]"	"to acknowledge"	"verb"	"C1"
"poważnie"	"पोवअझनिे"	"पओवअझनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: seriously]"	"seriously"	"noun"	"B2"
"poważny"	"पोवअझनि"	"पओवअझनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: serious]"	"serious"	"noun"	"A2"
"powiązanie"	"पोविओंज़अनिे"	"पओवइओंज़अनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: link]"	"link"	"noun"	"C1"
"powiedzieć"	"पोविेजिेच"	"पओवइएजिएच"	"कहना"	"म्हणणे"	"to say"	"verb"	"B2"
"powierzchnia"	"पोविेझखनिअ"	"पओवइएझखनिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: area]"	"area"	"noun"	"A2"
"powieść"	"पोविेशच"	"पओवइएशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: Roman]"	"Roman"	"noun"	"B2"
"powietrze"	"पोविेतझे"	"पओवइएतझए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: air]"	"air"	"noun"	"A1"
"powinien"	"पोविनिेन"	"पओवइनिएन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: should]"	"should"	"noun"	"A1"
"powłoka"	"पोववोकअ"	"पओववओकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: shell]"	"shell"	"noun"	"C1"
"powód"	"पोवउद"	"पओवउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: reason]"	"reason"	"noun"	"A1"
"powodować"	"पोवोदोवअच"	"पओवओदओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to cause]"	"to cause"	"verb"	"A1"
"powódź"	"पोवउजि"	"पओवउजि"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: flood]"	"flood"	"noun"	"C1"
"powoli"	"पोवोलि"	"पओवओलइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: slowly]"	"slowly"	"noun"	"A1"
"powolny"	"पोवोलनि"	"पओवओलनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: slow]"	"slow"	"noun"	"A2"
"powstać"	"पोवसतअच"	"पओवसतअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to arise]"	"to arise"	"verb"	"B2"
"powtarzać"	"पोवतअझअच"	"पओवतअझअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to repeat]"	"to repeat"	"verb"	"A2"
"powyżej"	"पोविझेय"	"पओवइझएय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: above]"	"above"	"noun"	"A1"
"poza"	"पोज़अ"	"पओज़अ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: off]"	"off"	"noun"	"A1"
"pozdrawiać"	"पोज़दरअविअच"	"पओज़दरअवइअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to greet]"	"to greet"	"verb"	"B2"
"poziom"	"पोज़िोम"	"पओज़िओम"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: level]"	"level"	"noun"	"A2"
"późno"	"पउज़नो"	"पउज़नओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: late]"	"late"	"noun"	"A1"
"pozostać"	"पोज़ोसतअच"	"पओज़ओसतअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to remain]"	"to remain"	"verb"	"A1"
"pozwolić"	"पोज़वोलिच"	"पओज़वओलइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to let]"	"to let"	"verb"	"A1"
"pozwolić sobie"	"पोज़वोलिच सोबिे"	"पओज़वओलइच सओबइए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to afford]"	"to afford"	"noun"	"B2"
"pozycja"	"पोज़ित्सयअ"	"पओज़इत्सयअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: position]"	"position"	"noun"	"A2"
"praca"	"परअत्सअ"	"परअत्सअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: job]"	"job"	"noun"	"A2"
"pracować"	"परअत्सोवअच"	"परअत्सओवअच"	"काम करना"	"काम करणे"	"to work"	"verb"	"B2"
"pracownik"	"परअत्सोवनिक"	"परअत्सओवनिक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: worker]"	"worker"	"noun"	"B2"
"prąd"	"परओंद"	"परओंद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: current]"	"current"	"noun"	"B2"
"pragnienie"	"परअगनिेनिे"	"परअगनिएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: desire]"	"desire"	"noun"	"A2"
"praktyka"	"परअकतिकअ"	"परअकतइकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: practice]"	"practice"	"noun"	"B1"
"prawda"	"परअवदअ"	"परअवदअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: truth]"	"truth"	"noun"	"A1"
"prawdopodobne"	"परअवदोपोदोबने"	"परअवदओपओदओबनए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: likely]"	"likely"	"noun"	"A2"
"prawdopodobnie"	"परअवदोपोदोबनिे"	"परअवदओपओदओबनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: probably]"	"probably"	"noun"	"A1"
"prawdziwe"	"परअवजिवे"	"परअवजिवए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: True]"	"True"	"noun"	"A1"
"prawie"	"परअविे"	"परअवइए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: almost]"	"almost"	"noun"	"A1"
"prawnik"	"परअवनिक"	"परअवनिक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: lawyer]"	"lawyer"	"noun"	"B1"
"prawny"	"परअवनि"	"परअवनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: legal]"	"legal"	"noun"	"C1"
"prawo"	"परअवो"	"परअवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: wet]"	"wet"	"noun"	"B1"
"prędkość"	"परएंदकोशच"	"परएंदकओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: speed]"	"speed"	"noun"	"B1"
"prezent"	"परेज़ेनत"	"परएज़एनत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: gift]"	"gift"	"noun"	"B1"
"próba"	"परउबअ"	"परउबअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: attempt]"	"attempt"	"noun"	"A2"
"problem"	"परोबलेम"	"परओबलएम"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: issue]"	"issue"	"noun"	"B1"
"próbować"	"परउबोवअच"	"परउबओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to try]"	"to try"	"verb"	"A1"
"proces"	"परोत्सेस"	"परओत्सएस"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: process]"	"process"	"noun"	"B1"
"produkować"	"परोदुकोवअच"	"परओदउकओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to produce]"	"to produce"	"verb"	"A2"
"profesjonalny"	"परोफेसयोनअलनि"	"परओफएसयओनअलनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: professional]"	"professional"	"noun"	"C1"
"projekt"	"परोयेकत"	"परओयएकत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: design]"	"design"	"noun"	"B1"
"prośba"	"परोशबअ"	"परओशबअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: request]"	"request"	"noun"	"B1"
"prosto"	"परोसतो"	"परओसतओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: straight]"	"straight"	"noun"	"A2"
"prosty"	"परोसति"	"परओसतइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: simple]"	"simple"	"noun"	"A2"
"proszę"	"परोशएं"	"परओशएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to please]"	"to please"	"noun"	"A1"
"protestować"	"परोतेसतोवअच"	"परओतएसतओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to protest]"	"to protest"	"verb"	"B1"
"prowadzić"	"परोवअजिच"	"परओवअजिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to lead]"	"to lead"	"verb"	"A1"
"prysznic"	"परिशनित्स"	"परइशनित्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: shower]"	"shower"	"noun"	"B2"
"prywatny"	"परिवअतनि"	"परइवअतनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: private]"	"private"	"noun"	"A2"
"przeciągać"	"पझेचिओंगअच"	"पझएचिओंगअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to drag]"	"to drag"	"verb"	"B1"
"przeciwko"	"पझेचिवको"	"पझएचिवकओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: against]"	"against"	"noun"	"A1"
"przeciwnie"	"पझेचिवनिे"	"पझएचिवनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: opposite]"	"opposite"	"noun"	"B1"
"przed"	"पझेद"	"पझएद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: before]"	"before"	"noun"	"A1"
"przed siebie"	"पझेद शिेबिे"	"पझएद शिएबइए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: ahead]"	"ahead"	"noun"	"A2"
"Przedmiot"	"पझेदमिोत"	"पझएदमइओत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: subject]"	"subject"	"noun"	"A2"
"przegapić"	"पझेगअपिच"	"पझएगअपइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to miss]"	"to miss"	"verb"	"A2"
"przegrać"	"पझेगरअच"	"पझएगरअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to lose]"	"to lose"	"verb"	"A1"
"przejście"	"पझेयशचिे"	"पझएयशचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: passage]"	"passage"	"noun"	"B1"
"przeklinać"	"पझेकलिनअच"	"पझएकलइनअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to curse]"	"to curse"	"verb"	"B2"
"przekonać"	"पझेकोनअच"	"पझएकओनअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to convince]"	"to convince"	"verb"	"B1"
"przełączać"	"पझेवओंचअच"	"पझएवओंचअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to switch]"	"to switch"	"verb"	"C1"
"przemoc"	"पझेमोत्स"	"पझएमओत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: violence]"	"violence"	"noun"	"C1"
"przenieść"	"पझेनिेशच"	"पझएनिएशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to move]"	"to move"	"noun"	"A1"
"Przepraszam"	"पझेपरअशअम"	"पझएपरअशअम"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: sorry]"	"sorry"	"noun"	"A2"
"przerażenie"	"पझेरअझेनिे"	"पझएरअझएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: horror]"	"horror"	"noun"	"B2"
"przerwać"	"पझेरवअच"	"पझएरवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to interrupt]"	"to interrupt"	"verb"	"B1"
"przestać"	"पझेसतअच"	"पझएसतअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to cease]"	"to cease"	"verb"	"B2"
"przestępca"	"पझेसतएंपत्सअ"	"पझएसतएंपत्सअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: criminal]"	"criminal"	"noun"	"C1"
"przestępstwo"	"पझेसतएंपसतवो"	"पझएसतएंपसतवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: crime]"	"crime"	"noun"	"B1"
"przestraszony"	"पझेसतरअशोनि"	"पझएसतरअशओनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: afraid]"	"afraid"	"noun"	"A2"
"przestraszyć"	"पझेसतरअशिच"	"पझएसतरअशइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to scare]"	"to scare"	"verb"	"B2"
"przestraszyć się"	"पझेसतरअशिच शिएं"	"पझएसतरअशइच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to frighten]"	"to frighten"	"noun"	"B2"
"przestrzeń"	"पझेसतझेञ"	"पझएसतझएञ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: space]"	"space"	"noun"	"A2"
"przesunąć"	"पझेसुनओंच"	"पझएसउनओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to shift]"	"to shift"	"noun"	"B1"
"przesuwać"	"पझेसुवअच"	"पझएसउवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to slide]"	"to slide"	"verb"	"A2"
"przeszkadzać"	"पझेशकअजअच"	"पझएशकअजअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to bother]"	"to bother"	"verb"	"B1"
"przeszłość"	"पझेशवोशच"	"पझएशवओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: past]"	"past"	"noun"	"A1"
"przetrwać"	"पझेतरवअच"	"पझएतरवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to survive]"	"to survive"	"verb"	"B2"
"przewaga"	"पझेवअगअ"	"पझएवअगअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: advantage]"	"advantage"	"noun"	"B2"
"przewóz"	"पझेवउज़"	"पझएवउज़"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: carriage]"	"carriage"	"noun"	"B2"
"przez"	"पझेज़"	"पझएज़"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: by]"	"by"	"noun"	"A1"
"przybyć"	"पझिबिच"	"पझइबइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to arrive]"	"to arrive"	"verb"	"A1"
"przychodzić"	"पझिखोजिच"	"पझइखओजिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"verb"	"B2"
"przyciągać"	"पझिचिओंगअच"	"पझइचिओंगअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to attract]"	"to attract"	"verb"	"C1"
"przycisk"	"पझिचिसक"	"पझइचिसक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: button]"	"button"	"noun"	"B2"
"przygasać"	"पझिगअसअच"	"पझइगअसअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: dim]"	"dim"	"verb"	"C1"
"przygoda"	"पझिगोदअ"	"पझइगओदअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: adventure]"	"adventure"	"noun"	"B2"
"przygotować"	"पझिगोतोवअच"	"पझइगओतओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to prepare]"	"to prepare"	"verb"	"A2"
"przyjaciel"	"पझियअचिेल"	"पझइयअचिएल"	"दोस्त"	"मित्र"	"friend"	"noun"	"B2"
"przyjazd"	"पझियअज़द"	"पझइयअज़द"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: arrival]"	"arrival"	"noun"	"B2"
"przyjaźń"	"पझियअज़ञ"	"पझइयअज़ञ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: friendship]"	"friendship"	"noun"	"B2"
"przyjazny"	"पझियअज़नि"	"पझइयअज़नइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: friendly]"	"friendly"	"noun"	"B2"
"przyjęcie"	"पझियएंचिे"	"पझइयएंचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: party]"	"party"	"noun"	"A2"
"przyjemnie"	"पझियेमनिे"	"पझइयएमनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: pleasant]"	"pleasant"	"noun"	"B1"
"przyjemność"	"पझियेमनोशच"	"पझइयएमनओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: pleasure]"	"pleasure"	"noun"	"A2"
"przyjść"	"पझियशच"	"पझइयशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to come]"	"to come"	"noun"	"A1"
"przykład"	"पझिकवअद"	"पझइकवअद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: example]"	"example"	"noun"	"A2"
"przyklejać"	"पझिकलेयअच"	"पझइकलएयअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to stick]"	"to stick"	"verb"	"A2"
"przylgnąć"	"पझिलगनओंच"	"पझइलगनओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to cling]"	"to cling"	"noun"	"B2"
"przynieść"	"पझिनिेशच"	"पझइनिएशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to bring]"	"to bring"	"noun"	"A1"
"przynosić"	"पझिनोशिच"	"पझइनओशिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"verb"	"B2"
"przypiąć"	"पझिपिओंच"	"पझइपइओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to pin]"	"to pin"	"noun"	"C1"
"przypomnieć"	"पझिपोमनिेच"	"पझइपओमनिएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to remind]"	"to remind"	"verb"	"A2"
"przypuszczać"	"पझिपुश्चअच"	"पझइपउश्चअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to suppose]"	"to suppose"	"verb"	"A1"
"przysięgać"	"पझिशिएंगअच"	"पझइशिएंगअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to swear]"	"to swear"	"verb"	"B1"
"przystojny"	"पझिसतोयनि"	"पझइसतओयनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: handsome]"	"handsome"	"noun"	"B1"
"przyszłość"	"पझिशवोशच"	"पझइशवओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: future]"	"future"	"noun"	"A2"
"przytulić"	"पझितुलिच"	"पझइतउलइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to hug]"	"to hug"	"verb"	"B2"
"przywódca"	"पझिवउदत्सअ"	"पझइवउदत्सअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: leader]"	"leader"	"noun"	"B1"
